time,weathercode,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,shortwave_radiation_sum,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,et0_fao_evapotranspiration,latitude,longitude,elevation,country,city,date,month,year,rainfall_lag1
1/2/2010,51,27.3,24.3,25.7,28.8,26.6,27.6,6:19:00 AM,5:58:00 PM,15.31,2.0,2.0,0,11,22.5,36.0,36,3.77,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-02,1,2010,0.0
1/3/2010,51,26.3,24.2,25.2,28.4,26.0,27.1,6:20:00 AM,5:58:00 PM,15.44,1.4,1.4,0,7,22.7,34.2,26,3.52,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-03,1,2010,2.0
1/4/2010,2,26.5,23.5,24.9,28.8,24.5,26.3,6:20:00 AM,5:59:00 PM,18.62,0.0,0.0,0,0,19.5,33.1,9,4.32,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-04,1,2010,1.4
1/5/2010,3,26.8,23.4,25.1,28.6,24.7,25.9,6:21:00 AM,5:59:00 PM,22.31,0.0,0.0,0,0,20.9,34.2,7,5.33,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-05,1,2010,0.0
1/6/2010,3,27.1,24.5,25.7,27.8,25.4,26.4,6:21:00 AM,6:00:00 PM,16.78,0.0,0.0,0,0,22.1,34.6,23,4.76,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-06,1,2010,0.0
1/7/2010,63,27.5,23.3,25.3,28.3,25.5,26.9,6:21:00 AM,6:00:00 PM,13.32,15.6,15.6,0,12,23.1,37.1,356,3.58,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-07,1,2010,0.0
1/8/2010,53,26.0,23.4,24.9,30.6,27.2,28.9,6:22:00 AM,6:01:00 PM,8.87,1.8,1.8,0,8,14.1,31.7,80,1.85,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-08,1,2010,15.6
1/9/2010,53,28.2,24.4,26.2,33.3,28.7,30.6,6:22:00 AM,6:01:00 PM,19.17,2.2,2.2,0,5,17.3,28.1,118,3.65,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-09,1,2010,1.8
1/10/2010,51,27.9,24.3,25.9,33.1,28.8,30.6,6:22:00 AM,6:02:00 PM,19.44,0.5,0.5,0,3,15.0,27.4,90,3.64,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-10,1,2010,2.2
1/11/2010,51,28.2,23.9,26.1,35.0,28.7,31.0,6:22:00 AM,6:02:00 PM,20.2,0.5,0.5,0,5,11.5,21.2,83,3.9,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-11,1,2010,0.5
1/12/2010,61,28.0,23.8,25.6,34.0,28.4,30.4,6:23:00 AM,6:03:00 PM,18.49,7.6,7.6,0,12,11.1,20.9,40,3.54,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-12,1,2010,0.5
1/13/2010,51,27.8,24.8,26.4,33.4,29.1,30.7,6:23:00 AM,6:03:00 PM,18.17,1.2,1.2,0,9,15.3,24.1,80,3.68,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-13,1,2010,7.6
1/14/2010,51,28.0,25.0,26.5,31.7,27.7,29.7,6:23:00 AM,6:04:00 PM,19.18,0.9,0.9,0,4,20.0,32.8,61,4.04,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-14,1,2010,1.2
1/15/2010,2,27.1,24.9,26.1,30.6,27.2,28.1,6:24:00 AM,6:04:00 PM,19.33,0.0,0.0,0,0,19.4,31.3,41,4.54,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-15,1,2010,0.9
1/16/2010,53,26.9,24.8,25.6,30.1,27.2,28.3,6:24:00 AM,6:05:00 PM,16.06,8.2,8.2,0,21,22.4,37.8,46,3.35,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-16,1,2010,0.0
1/17/2010,51,27.4,25.1,26.2,29.2,27.2,28.0,6:24:00 AM,6:05:00 PM,17.18,1.0,1.0,0,6,25.8,41.0,31,4.15,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-17,1,2010,8.2
1/18/2010,51,26.5,25.1,25.6,29.3,27.0,28.0,6:24:00 AM,6:06:00 PM,14.09,3.1,3.1,0,17,20.2,32.8,37,3.34,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-18,1,2010,1.0
1/19/2010,2,27.5,24.9,26.0,30.3,26.3,27.9,6:24:00 AM,6:06:00 PM,18.8,0.0,0.0,0,0,21.3,33.8,36,4.45,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-19,1,2010,3.1
1/20/2010,2,27.5,24.5,25.9,29.7,25.8,27.4,6:25:00 AM,6:06:00 PM,19.55,0.0,0.0,0,0,19.2,31.7,29,4.74,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-20,1,2010,0.0
1/21/2010,2,27.0,24.4,25.4,28.7,25.8,26.7,6:25:00 AM,6:07:00 PM,18.86,0.0,0.0,0,0,20.9,34.6,24,4.49,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-21,1,2010,0.0
1/22/2010,1,27.1,23.8,25.2,28.9,25.0,26.4,6:25:00 AM,6:07:00 PM,21.19,0.0,0.0,0,0,21.0,34.2,16,4.87,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-22,1,2010,0.0
1/23/2010,2,27.7,23.9,25.8,29.4,24.9,27.0,6:25:00 AM,6:08:00 PM,21.27,0.0,0.0,0,0,16.6,29.2,36,5.12,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-23,1,2010,0.0
1/24/2010,51,28.3,23.7,25.8,30.4,26.2,27.8,6:25:00 AM,6:08:00 PM,20.85,0.4,0.4,0,3,14.2,26.6,34,4.83,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-24,1,2010,0.0
1/25/2010,51,27.6,24.1,25.8,31.2,27.4,28.8,6:25:00 AM,6:09:00 PM,19.81,0.2,0.2,0,2,17.2,28.8,27,4.09,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-25,1,2010,0.4
1/26/2010,51,27.8,24.1,25.9,31.4,27.4,28.9,6:25:00 AM,6:09:00 PM,20.46,0.7,0.7,0,5,18.2,30.2,35,4.22,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-26,1,2010,0.2
1/27/2010,51,27.2,24.4,25.7,31.4,27.6,28.7,6:25:00 AM,6:09:00 PM,17.68,3.9,3.9,0,22,22.9,36.7,42,3.45,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-27,1,2010,0.7
1/28/2010,51,27.8,25.2,26.4,30.9,27.2,28.7,6:25:00 AM,6:10:00 PM,20.0,0.6,0.6,0,4,24.2,38.5,43,4.37,8.599998,81.20001,7,Sri Lanka,Trincomalee,2010-01-28,1,2010,3.9
